등록일자	현재상태	최종주무부처(주무부처이름(상세)	등록번호	자격명	등급명	신청기관	자격개요	등급별직무내용	공인여부	등급공인여부
2013-06-14	등록완료	산업통상자원부	"""2013-0384"	SMAT(서비스경영자격)	"1급(컨설턴트),2급(관리자),3급(실무자)"	한국생산성본부	" 고객과의 원활한 의사소통을 통해 올바른 커뮤니케이션이 이루어지도록 함으로써 기업 -고객 간 충돌을 줄이고 관계를 향상시키는 직무 신규고객을 유치하고 기존고객을 유지하며, 상호 윈 -윈 교환을 통해 고객가치를 창출하고 고객관계를 관리하는 직무 고객 -기업 -제도의 통합적 관점에서 서비스 프로세스를 설계/관리하며, 서비스 공급/수요 및 인적자원관리를 통해 고객만족 경영전략을 수립하는 직무"	"[1급(컨설턴트)]비즈니스 커뮤니케이션(A모듈), 서비스 마케팅/세일즈(B모듈), 서비스 운영전략(C모듈) 3개 모듈 모두에 합격하여, 서비스경영 전 분야에 전문가적 지식을 가지고 서비스 설계/기획을 수행할 수 있는 컨설턴트[2급(관리자)]비즈니스 커뮤니케이션(A모듈)에 합격하고, 서비스 마케팅/세일즈(B모듈) 또는 서비스 운영전략(C모듈) 중 하나에 합격하여, 마케팅/영업 또는 운영관리 부문에 직무별 특성화 인재로서의 지식을 가지고 서비스 관리를 수행할 수 있는 관리자[3급(실무자)]비즈니스 커뮤니케이션(A모듈)에 합격하여, 서비스 산업 종사자로서의 핵심 지식과 스킬을 가지고 고객 서비스 현장 접점에서 비즈니스 커뮤니케이션을 수행할 수 있는 실무자"	공인	Y
2008-07-28	등록완료	문화체육관광부	"""2008-0142"	실천예절지도사	등급없음	(사)범국민예의생활실천운동본부	‘건전가정의례의 정착 및 지원에 관한 법률’에 따라 국가 및 지방자치단체가 주관하는 사회의례 및 의전 담당을 주관할 능력 및 전국 234개 향교(鄕校) 및 294개 유도회(儒道會) 지부를 통한 대민 교육을 담당할 능력을 검정	"[등급없음]12144(사)범국민예의생활실천운동본부실천예절지도사등급없음""건전가정의례의 정착 및 지원에 관한 법률’에 따라 국가 및 지방자치단체가 주관하는 사회의례 및 의전 담당 전국 234개 향교(鄕校) 및 294개 유도회(儒道會) 지부를 통한 대민 교육 "	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0265"	디지털정보활용능력(DIAT)	"초급,중급,고급"	한국정보통신진흥협회	「디지털정보활용능력」 자격취득자는 컴퓨터에 대한 기본지식과 최신 정보통신기술에 대한 폭넓은 이해를 바탕으로 컴퓨터 및 인터넷 활용능력을 배양하여 지식정보화 사회에서 요구하는 컴퓨터를 이용한 정보처리와 인터넷 활용 및 웹 페이지를 설계하는 업무 등을 수행한다.	[초급]컴퓨터와 정보통신 기반기술의 기초적은 지식 및 정보처리 능력을 갖고 있으며 OA 프로그램 활용하는 능력[중급]컴퓨터와 정보통신 기반기술의 기초적은 지식 및 정보처리 능력을 갖고 있으며 OA 프로그램 활용하는 능력[고급]컴퓨터와 정보통신 기반기술의 기초적은 지식 및 정보처리 능력을 갖고 있으며 OA 프로그램 활용하는 능력	공인	Y
2008-12-30	등록완료	보건복지부	"""2008-0655"	점역교정사	"1급,2급,3급"	(사)한국시각장애인연합회	"·시각장애인이 촉각을 활용하여 도서를 읽을 수 있도록 제판기, 타자기, 컴퓨터점자프린터기 등을 이용하여 점자도서를 제작하는 것으로 점역자료를 직접 점자로 입력하거나 한글 워드프로세서로 입력하여 점역프로그램으로 변환작업을 한다.·도표나 그림 등을 시각장애인이 쉽게 이해할 수 있는 수준으로 풀어 써서 점자로 표현한다."	[1급]점역·교정사는 시각장애인이 촉각을 이용하여 도서를 읽을 수 있도록 일반 문자를 점자로 번역·교정하는 것을 직무로 한다.[2급]점역·교정사는 시각장애인이 촉각을 이용하여 도서를 읽을 수 있도록 일반 문자를 점자로 번역·교정하는 것을 직무로 한다.[3급]점역·교정사는 시각장애인이 촉각을 이용하여 도서를 읽을 수 있도록 일반 문자를 점자로 번역·교정하는 것을 직무로 한다.	공인	Y
2008-07-28	등록완료	기획재정부	"""2008-0261"	세무회계	"1급,2급,3급"	한국세무사회	"1) 세무회계 전반(법인세법, 부가가치세법, 소득세법, 조세특례제한법 등)의 수준별 능력을 검정2) 상업계 고등학교, 전문대학 및 대학교 등 각급 학교 세무회계 교과과정을    내실화함 시킴으로써 기업이 요구하는 전문인력 양성 및 배출3) 기업체는 별도의 재교육 없이 바로 경리,회계 실무에 이론지식을 겸비한   전문인력 수급에 용이해짐4) 재직중인 직원에 대한 객관적인 능력평가 및 기준을 마련할 기회 제공"	"[1급]세무회계에 대한 기초지식, 중급수준의 지식, 고급이론을 바탕으로 회계 관련 업무 수행에 뛰어난 능력을 발휘할 수 있다.[2급]세무회계에 대한 기초지식, 중급수준의 지식, 고급이론을 바탕으로 회계 관련 업무 수행에 뛰어난 능력을 발휘할 수 있다.[3급]세무회계에 대한 기초지식, 중급수준의 지식, 고급이론을 바탕으로 회계 관련 업무 수행에 뛰어난 능력을 발휘할 수 있다."	공인	Y
2008-07-28	등록완료	문화체육관광부	"""2008-0110"	소프트웨어자산관리사(C-SAM)	"1급,2급"	(사)한국소프트웨어저작권협회	1. 기업에서 SW를 관리할 수 있는 능력을 검정 2. SW자산관리에 필요한 업무 수행 능력을 검정 	"[1급]소프트웨어 자산관리 정책 수립과, 소프트웨어 수요 예측, 구매, 운영, 사후관리, 자산으로서의 소프트웨어 폐기 절차 능력을 검정[2급]소프트웨어 자산관리 정책 수립과, 소프트웨어 수요 예측, 구매, 운영, 사후관리, 자산으로서의 소프트웨어 폐기 절차 능력을 검정"	공인	Y
2011-02-23	등록완료	금융위원회	"""2011-0098"	신용상담사	등급없음	신용회복위원회	1. 신용회복위원회 신용상담 및 소액금융지원 상담능력 검정2. 금융회사 여신 및 여신사후관리 담당자에 대한 신용상담능력 검정3. 금융소비자 보호기관 금융피해구제 담당자에 대한 상담능력 검정	"[등급없음]저신용자에 대한 채무상담, 금융채무불이행자 채무조정 등 구제방안 마련, 금융채무불이행자 소액금융상담, 저신용자에 대한 재무컨설팅 및 신용상담보고서 발급"	공인	Y
2013-12-31	등록완료	국토교통부	"""2013-2176"	보상관리사	등급없음	사단법인 한국토지보상관리사협회	"1.보상계획의수립·공고및열람에관한업무2.토지대장및건축물대장등공부의조사3.토지등의소유권및소유권외의권리관련사항의조사4.토지조서및물건조서의 기재사항에 관한 조사5.잔여지및공익사업지구밖의토지등의보상에관한조사6.영업·농업·어업및광업손실에관한조사7.보상액의산정(감정평가업무는제외한다)8.이주대책의수립,실시또는이주정착금의지급9.그밖에보상업무와관련된부대업무"	"[등급없음]1.보상계획의수립·공고및열람에관한업무2.토지대장및건축물대장등공부의조사3.토지등의소유권및소유권외의권리관련사항의조사4.토지조서및물건조서의 기재사항에 관한 조사5.잔여지및공익사업지구밖의토지등의보상에관한조사6.영업·농업·어업및광업손실에관한조사7.보상액의산정(감정평가업무는제외한다)8.이주대책의수립,실시또는이주정착금의지급9.그밖에보상업무와관련된부대업무"	공인	Y
2008-12-30	등록완료	산림청	"""2008-0651"	분재관리사	"전문관리사,1급,2급"	(사)한국분재조합	"21세기는 '물질의 풍요함'에서 '마음의 풍요함'이 중시되는 시대이다. 분재 등 관상자원은 우리 생활에 윤택함과 편안함을 더해주어, 그 중요성이 점점 높아지고 있다. 분재관리사는 분재전문관리사, 분재관리사 1,2급으로 구분된다. 분재전문관리사 자격은 전문 교육과 신기술 개발, 분재 관련 직업교육 및 전문관리인의 직무를 수행할 수 있는지를 검정한다. 분재관리사 1급은 분재기술문화의 발달과 개발 및 이에 필요한 산업시장의 유통, 도매입과 판매, 종합 관리 등의 직무를 수행할 수 있는 능력을 검정한다. 또한 2급은 분재 기초직무로서 기술의 정착 및 유지, 발전, 그리고 생산, 판매 종사자로서 직무를 수행할 수 있는 능력 등을 검정한다."	"[전문관리사]분재전문관리사는 전문인으로서 분재인의 저변확대에 따른 전문인 교육과 신기술 개발 및 평생교육의 이념에 필요한 분재관련 직업교육과 전문관리인의 직무를 수행함. 다만 소정의 지도교육을 이수하고 수행하여야 한다[1급]분재관리사 1급은 분재기술문화의 발달과 개발 및 이에 따른 필요한 산업시장의 유통, 도매업과 판매, 종합관리 등의 직무를 수행[2급]분재관리사 2급은 분재기초직무로서 기술의 정착 및 유지 발전과 생산ㆍ판매종사자로서 직무를 수행"	공인	Y
2008-12-30	등록완료	경찰청	"""2008-0647"	열쇠관리사	"1급,2급"	(사)한국열쇠협회	 -잠금장치(열쇠)에 대하여 기초이론 및 키 제작 능력 검정 -열쇠업을 영위함에 있어서 최소한의 기본 상행위 능력 검정	"[1급]현장에서 잠금장치 관련 업무수행,공동주택 공사장 열쇠관련 공사입찰,잠금 및 방범장치 수리 및 설치,경찰서, 소방서, 군부대 등 요청 시 잠금장치 관련 교육,금고수리, 자동차 키 해정 및 제작,개인주택, 사무실, 호텔(모텔) 기타 열쇠관련 수리 및 설치 [2급] - 일반 잠금장치 해정, 수리 및 복제,  - 사업장(열쇠업)운영에 필요한 기술습득,  - 일반주민들에 대한 방범교육"	공인	Y
